AK,710231
AL,4779736
AR,2915918
AZ,6392017
CA,37253956
CO,5029196
CT,3574097
DC,601723
DE,897934
FL,18801310
GA,9687653
HI,1360301
IA,3046355
ID,1567582
IL,12830632
IN,6483802
KS,2853118
KY,4339367
LA,4533372
MA,6547629
MD,5773552
ME,1328361
MI,9883640
MN,5303925
MO,5988144
MS,2967297
MT,989415
NC,9535483
ND,672591
NE,1826341
NH,1316470
NJ,8791894
NM,2059179
NV,2700551
NY,19378102
OH,11536504
OK,3751351
OR,3831074
PA,12702379
RI,1052567
SC,4625364
SD,814180
TN,6346165
TX,25145561
US,308745538
UT,2763885
VA,8001024
VT,625741
WA,6724540
WI,5686986
WV,1852994
WY,563626
